Rank,Model,Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
1,Octen/Octen-Embedding-8B-INT8,100,7.567,7.567,1024,32768,94.51,94.51,94.51
2,Octen/Octen-Embedding-8B,100,7.567,7.567,4096,32768,93.13,93.13,93.13
3,bflhc/MoD-Embedding,100,4.022,4.022,2560,32768,90.74,90.74,90.74
4,Mira190/Euler-Legal-Embedding-V1,100,7.567,7.567,4096,1536,90.03,90.03,90.03
5,Octen/Octen-Embedding-4B-INT8,100,4.022,4.022,1024,32768,86.68,86.68,86.68
6,Octen/Octen-Embedding-0.6B,100,0.596,0.596,1024,32768,86.59,86.59,86.59
7,Octen/Octen-Embedding-4B,100,4.022,4.022,2560,32768,85.57,85.57,85.57
8,Qwen/Qwen3-Embedding-8B,100,7.567,7.567,4096,32768,85.09,85.09,85.09
9,geevec-ai/geevec-embeddings-1.0,NA,,,4096,32768,83.12,83.12,83.12
10,Qwen/Qwen3-Embedding-4B,100,4.022,4.022,2560,32768,81.19,81.19,81.19
11,Qwen/Qwen3-Embedding-0.6B,100,0.596,0.596,1024,32768,79.02,79.02,79.02
12,geevec-ai/geevec-embeddings-1.0-lite,NA,0.349,0.366,4096,32768,74.62,74.62,74.62
13,Octen/octen-vl-embedding,100,,,2048,32000,69.91,69.91,69.91
14,Octen/octen-vl-embedding-large,100,,,4096,32000,69.38,69.38,69.38
15,perplexity-ai/pplx-embed-v1-4b,100,4,4,2560,32768,61.00,61.00,61.00
16,perplexity-ai/pplx-embed-v1-0.6b,100,0.596,0.596,1024,32768,59.84,59.84,59.84
17,tencent/KaLM-Embedding-Gemma3-12B-2511,100,11.766,11.766,3840,32768,56.26,56.26,56.26
18,"voyageai/voyage-4-large (embed_dim=2048, evolved_prompts=True)",100,,,2048,32000,56.13,56.13,56.13
19,microsoft/harrier-oss-v1-27b,100,27.009,27.009,5376,131072,55.14,55.14,55.14
20,nvidia/llama-embed-nemotron-8b,100,7.505,7.505,4096,32768,54.03,54.03,54.03
21,jinaai/jina-embeddings-v5-omni-small,NA,1.626,1.626,1024,32768,53.30,53.30,53.30
22,jinaai/jina-embeddings-v5-text-small,NA,0.596,0.596,1024,32768,53.30,53.30,53.30
23,voyageai/voyage-3-large,100,,,1024,32000,52.20,52.20,52.20
24,jinaai/jina-embeddings-v5-omni-nano,NA,0.986,0.986,768,8192,51.52,51.52,51.52
25,jinaai/jina-embeddings-v5-text-nano,NA,0.212,0.212,768,8192,51.52,51.52,51.52
26,voyageai/voyage-4-large (embed_dim=2048),100,,,2048,32000,50.29,50.29,50.29
27,jinaai/jina-embeddings-v4,100,3.935,3.935,2048,32768,50.13,50.13,50.13
28,voyageai/voyage-4-large,100,,,1024,32000,50.02,50.02,50.02
29,voyageai/voyage-4,100,,,1024,32000,49.91,49.91,49.91
30,google/gemini-embedding-001,100,,,3072,2048,48.77,48.77,48.77
31,codefuse-ai/F2LLM-v2-14B,100,13.99,13.99,5120,40960,48.50,48.50,48.50
32,voyageai/voyage-4-lite,100,,,1024,32000,48.48,48.48,48.48
33,voyageai/voyage-3.5,100,,,1024,32000,47.82,47.82,47.82
34,voyageai/voyage-3.5 (output_dtype=int8),100,,,1024,32000,47.57,47.57,47.57
35,google/gemini-embedding-2-preview,100,,,3072,2048,47.33,47.33,47.33
36,ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,100,4.022,4.022,2560,32768,46.02,46.02,46.02
37,voyageai/voyage-law-2,100,,,1024,16000,45.51,45.51,45.51
38,voyageai/voyage-multilingual-2,100,,,1024,32000,45.00,45.00,45.00
39,codefuse-ai/F2LLM-v2-8B,100,7.568,7.568,4096,40960,44.98,44.98,44.98
40,nvidia/NV-Embed-v1,100,7.85,7.85,4096,32768,42.90,42.90,42.90
41,voyageai/voyage-3,100,,,1024,32000,42.49,42.49,42.49
42,openai/text-embedding-3-large,NA,,,3072,8191,41.85,41.85,41.85
43,GritLM/GritLM-7B,100,7.24,7.24,4096,32768,41.80,41.80,41.80
44,Salesforce/SFR-Embedding-2_R,100,7.111,7.111,4096,32768,41.68,41.68,41.68
45,VPLabs/SearchMap_Preview,NA,0.435,0.435,4096,8192,41.52,41.52,41.52
46,voyageai/voyage-3.5 (output_dtype=binary),100,,,1024,32000,41.25,41.25,41.25
47,google/text-embedding-004,100,,,768,2048,41.04,41.04,41.04
48,voyageai/voyage-large-2-instruct,100,,,1024,16000,40.75,40.75,40.75
49,BidirLM/BidirLM-Omni-2.5B-Embedding,100,2.445,2.445,2048,32768,40.51,40.51,40.51
50,codefuse-ai/F2LLM-v2-4B,100,4.022,4.022,2560,40960,40.46,40.46,40.46
51,infgrad/Jasper-Token-Compression-600M,87,0.607,0.607,2048,32768,39.80,39.80,39.80
52,Linq-AI-Research/Linq-Embed-Mistral,100,7.111,7.111,4096,32768,39.23,39.23,39.23
53,ICT-TIME-and-Querit/BOOM_4B_v1,100,4.022,4.022,2560,32768,39.17,39.17,39.17
54,GritLM/GritLM-8x7B,100,13,57.92,32768,32768,39.04,39.04,39.04
55,zeroentropy/zembed-1,NA,4.022,4.022,2560,32768,37.85,37.85,37.85
56,infly/inf-retriever-v1,100,7.069,7.069,3584,32768,37.73,37.73,37.73
57,microsoft/harrier-oss-v1-0.6b,100,0.596,0.596,1024,32768,37.69,37.69,37.69
58,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,100,0.494,0.494,896,512,37.60,37.60,37.60
59,Salesforce/SFR-Embedding-Mistral,100,7.111,7.111,4096,32768,37.47,37.47,37.47
60,google/embeddinggemma-300m,100,0.308,0.308,768,2048,37.37,37.37,37.37
61,Cohere/Cohere-embed-v4.0 (output_dtype=binary),NA,,,1536,128000,36.73,36.73,36.73
62,microsoft/harrier-oss-v1-270m,100,0.268,0.268,640,32768,35.69,35.69,35.69
63,google/text-embedding-005,100,,,768,2048,35.39,35.39,35.39
64,BidirLM/BidirLM-1.7B-Embedding,100,1.721,1.721,2048,8192,35.33,35.33,35.33
65,voyageai/voyage-3-lite,100,,,512,32000,35.03,35.03,35.03
66,google/text-multilingual-embedding-002,100,,,768,2048,34.90,34.90,34.90
67,Alibaba-NLP/gte-Qwen2-1.5B-instruct,NA,1.543,1.543,8960,32768,34.89,34.89,34.89
68,BidirLM/BidirLM-1B-Embedding,100,1,1,1152,32768,34.86,34.86,34.86
69,Cohere/Cohere-embed-v4.0,NA,,,1536,128000,34.85,34.85,34.85
70,HIT-TMG/KaLM-embedding-multilingual-mini-v1,100,0.494,0.494,896,512,34.71,34.71,34.71
71,infly/inf-retriever-v1-1.5b,100,1.543,1.543,1536,32768,34.69,34.69,34.69
72,intfloat/e5-mistral-7b-instruct,100,7.111,7.111,4096,32768,34.53,34.53,34.53
73,Cohere/Cohere-embed-v4.0 (output_dtype=int8),NA,,,1536,128000,34.42,34.42,34.42
74,Alibaba-NLP/gte-Qwen2-7B-instruct,NA,7.069,7.069,3584,32768,33.77,33.77,33.77
75,Alibaba-NLP/gte-multilingual-base,100,0.305,0.305,768,8192,33.57,33.57,33.57
76,codefuse-ai/F2LLM-v2-1.7B,100,1.721,1.721,2048,40960,33.36,33.36,33.36
